Time, X, Y, Z, errorZ, 
7.26667,13.6514,0,9.99247,0.00753162,29.4298
7.28333,13.7204,0,9.99249,0.00751056,29.4298
7.3,13.7886,0,9.99251,0.00748955,29.4298
7.31667,13.8562,0,9.99253,0.00746861,29.4298
7.33333,13.9231,0,9.99255,0.00744772,29.4298
7.35,13.9893,0,9.99257,0.0074269,29.4298
7.36667,14.0548,0,9.99259,0.00740613,29.4298
7.38333,14.1197,0,9.99261,0.00738542,29.4298
7.4,14.1839,0,9.99264,0.00736476,29.4298
7.41667,14.2474,0,9.99266,0.00734417,29.4298
7.43333,14.3102,0,9.99268,0.00732363,29.4298
7.45,14.3724,0,9.9927,0.00730315,29.4298
7.46667,14.434,0,9.99272,0.00728272,29.4298
7.48333,14.4949,0,9.99274,0.00726236,29.4298
7.5,14.5551,0,9.99276,0.00724205,29.4298
7.51667,14.6147,0,9.99278,0.00722179,29.4298
7.53333,14.6737,0,9.9928,0.0072016,29.4298
7.55,14.7321,0,9.99282,0.00718146,29.4298
7.56667,14.7899,0,9.99284,0.00716138,29.4298
7.58333,14.847,0,9.99286,0.00714135,29.4298
7.6,14.9036,0,9.99288,0.00712138,29.4298
7.61667,14.9595,0,9.9929,0.00710146,29.4298
7.63333,15.0149,0,9.99292,0.0070816,29.4298
7.65,15.0696,0,9.99294,0.0070618,29.4298
7.66667,15.1238,0,9.99296,0.00704205,29.4298
7.68333,15.1774,0,9.99298,0.00702235,29.4298
7.7,15.2304,0,9.993,0.00700272,29.4298
7.71667,15.2829,0,9.99302,0.00698313,29.4298
7.73333,15.3347,0,9.99304,0.0069636,29.4298
7.75,15.3861,0,9.99306,0.00694413,29.4298
7.76667,15.4369,0,9.99308,0.00692471,29.4298
7.78333,15.4871,0,9.99309,0.00690534,29.4298
7.8,15.5368,0,9.99311,0.00688603,29.4298
7.81667,15.5859,0,9.99313,0.00686677,29.4298
7.83333,15.6345,0,9.99315,0.00684757,29.4298
7.85,15.6826,0,9.99317,0.00682842,29.4298
7.86667,15.7302,0,9.99319,0.00680932,29.4298
7.88333,15.7773,0,9.99321,0.00679028,29.4298
7.9,15.8238,0,9.99323,0.00677129,29.4298
7.91667,15.8698,0,9.99325,0.00675235,29.4298
7.93333,15.9154,0,9.99327,0.00673347,29.4298
7.95,15.9604,0,9.99329,0.00671464,29.4298
7.96667,16.0049,0,9.9933,0.00669586,29.4298
7.98333,16.049,0,9.99332,0.00667713,29.4298
8,16.0926,0,9.99334,0.00665846,29.4298
8.01667,16.1357,0,9.99336,0.00663984,29.4298
8.03333,16.1783,0,9.99338,0.00662127,29.4298
8.05,16.2205,0,9.9934,0.00660275,29.4298
8.06667,16.2622,0,9.99342,0.00658429,29.4298
8.08333,16.3034,0,9.99343,0.00656587,29.4298
8.1,16.3442,0,9.99345,0.00654751,29.4298
8.11667,16.3845,0,9.99347,0.0065292,29.4298
8.13333,16.4244,0,9.99349,0.00651094,29.4298
8.15,16.4639,0,9.99351,0.00649273,29.4298
8.16667,16.5029,0,9.99353,0.00647457,29.4298
8.18333,16.5415,0,9.99354,0.00645647,29.4298
8.2,16.5796,0,9.99356,0.00643841,29.4298
8.21667,16.6174,0,9.99358,0.00642041,29.4298
8.23333,16.6547,0,9.9936,0.00640245,29.4298
8.25,16.6916,0,9.99362,0.00638455,29.4298
8.26667,16.7281,0,9.99363,0.00636669,29.4298
8.28333,16.7642,0,9.99365,0.00634888,29.4298
8.3,16.7999,0,9.99367,0.00633113,29.4298
8.31667,16.8351,0,9.99369,0.00631342,29.4298
8.33333,16.8701,0,9.9937,0.00629577,29.4298
8.35,16.9046,0,9.99372,0.00627816,29.4298
8.36667,16.9387,0,9.99374,0.0062606,29.4298
8.38333,16.9724,0,9.99376,0.00624309,29.4298
8.4,17.0058,0,9.99377,0.00622564,29.4298
8.41667,17.0388,0,9.99379,0.00620822,29.4298
8.43333,17.0715,0,9.99381,0.00619086,29.4298
8.45,17.1037,0,9.99383,0.00617355,29.4298
8.46667,17.1356,0,9.99384,0.00615628,29.4298
8.48333,17.1672,0,9.99386,0.00613907,29.4298
8.5,17.1984,0,9.99388,0.0061219,29.4298
8.51667,17.2293,0,9.9939,0.00610478,29.4298
8.53333,17.2598,0,9.99391,0.00608771,29.4298
8.55,17.2899,0,9.99393,0.00607068,29.4298
8.56667,17.3198,0,9.99395,0.0060537,29.4298
8.58333,17.3493,0,9.99396,0.00603677,29.4298
8.6,17.3784,0,9.99398,0.00601989,29.4298
8.61667,17.4073,0,9.994,0.00600306,29.4298
8.63333,17.4358,0,9.99401,0.00598627,29.4298
